topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 43
0 0 2 1 59
0 0 3 1 19
0 1 0 1 4
0 1 1 1 47
0 1 2 1 63
0 1 3 1 3
0 2 0 1 8
0 2 1 1 46
0 2 2 1 62
0 2 3 1 12
0 3 0 1 36
0 3 1 1 42
0 3 2 1 58
0 3 3 1 52
1 0 0 1 16
1 0 1 1 27
1 0 2 1 60
1 0 3 1 23
1 1 0 1 20
1 1 1 1 45
1 1 2 1 61
1 1 3 1 44
1 2 0 1 24
1 2 1 1 40
1 2 2 1 56
1 2 3 1 28
1 3 0 1 32
1 3 1 1 41
1 3 2 1 57
1 3 3 1 48
2 0 0 1 17
2 0 1 1 18
2 0 2 1 51
2 0 3 1 35
2 1 0 1 21
2 1 1 1 22
2 1 2 1 31
2 1 3 1 7
2 2 0 1 25
2 2 1 1 26
2 2 2 1 30
2 2 3 1 29
2 3 0 1 33
2 3 1 1 34
2 3 2 1 50
2 3 3 1 49
3 0 0 1 1
3 0 1 1 2
3 0 2 1 55
3 0 3 1 39
3 1 0 1 5
3 1 1 1 6
3 1 2 1 15
3 1 3 1 11
3 2 0 1 9
3 2 1 1 10
3 2 2 1 14
3 2 3 1 13
3 3 0 1 37
3 3 1 1 38
3 3 2 1 54
3 3 3 1 53
