fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 24
0 0 2 1 32
0 0 3 1 34
0 1 0 1 5
0 1 1 1 12
0 1 2 1 52
0 1 3 1 53
0 2 0 1 51
0 2 1 1 29
0 2 2 1 18
0 2 3 1 58
0 3 0 1 48
0 3 1 1 15
0 3 2 1 46
0 3 3 1 17
1 0 0 1 2
1 0 1 1 8
1 0 2 1 62
1 0 3 1 27
1 1 0 1 20
1 1 1 1 44
1 1 2 1 39
1 1 3 1 14
1 2 0 1 30
1 2 1 1 37
1 2 2 1 22
1 2 3 1 57
1 3 0 1 63
1 3 1 1 54
1 3 2 1 23
1 3 3 1 26
2 0 0 1 3
2 0 1 1 21
2 0 2 1 43
2 0 3 1 47
2 1 0 1 11
2 1 1 1 56
2 1 2 1 50
2 1 3 1 7
2 2 0 1 6
2 2 1 1 40
2 2 2 1 28
2 2 3 1 59
2 3 0 1 31
2 3 1 1 35
2 3 2 1 38
2 3 3 1 10
3 0 0 1 1
3 0 1 1 4
3 0 2 1 61
3 0 3 1 41
3 1 0 1 9
3 1 1 1 49
3 1 2 1 33
3 1 3 1 60
3 2 0 1 36
3 2 1 1 45
3 2 2 1 19
3 2 3 1 55
3 3 0 1 25
3 3 1 1 13
3 3 2 1 42
3 3 3 1 16
