recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 25
0 0 1 1 39
0 0 2 1 42
0 0 3 1 47
0 1 0 1 23
0 1 1 1 20
0 1 2 1 46
0 1 3 1 31
0 2 0 1 1
0 2 1 1 0
0 2 2 1 41
0 2 3 1 50
0 3 0 1 4
0 3 1 1 12
0 3 2 1 16
0 3 3 1 28
1 0 0 1 29
1 0 1 1 35
1 0 2 1 44
1 0 3 1 33
1 1 0 1 15
1 1 1 1 14
1 1 2 1 59
1 1 3 1 57
1 2 0 1 8
1 2 1 1 10
1 2 2 1 55
1 2 3 1 21
1 3 0 1 7
1 3 1 1 56
1 3 2 1 30
1 3 3 1 18
2 0 0 1 11
2 0 1 1 13
2 0 2 1 45
2 0 3 1 38
2 1 0 1 40
2 1 1 1 48
2 1 2 1 53
2 1 3 1 58
2 2 0 1 2
2 2 1 1 51
2 2 2 1 43
2 2 3 1 32
2 3 0 1 6
2 3 1 1 9
2 3 2 1 27
2 3 3 1 26
3 0 0 1 24
3 0 1 1 37
3 0 2 1 62
3 0 3 1 52
3 1 0 1 49
3 1 1 1 61
3 1 2 1 54
3 1 3 1 60
3 2 0 1 19
3 2 1 1 5
3 2 2 1 36
3 2 3 1 34
3 3 0 1 63
3 3 1 1 3
3 3 2 1 17
3 3 3 1 22
