greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 24
0 0 1 1 0
0 0 2 1 34
0 0 3 1 10
0 1 0 1 20
0 1 1 1 4
0 1 2 1 28
0 1 3 1 58
0 2 0 1 6
0 2 1 1 51
0 2 2 1 50
0 2 3 1 57
0 3 0 1 45
0 3 1 1 35
0 3 2 1 43
0 3 3 1 38
1 0 0 1 8
1 0 1 1 3
1 0 2 1 42
1 0 3 1 26
1 1 0 1 11
1 1 1 1 32
1 1 2 1 15
1 1 3 1 7
1 2 0 1 56
1 2 1 1 63
1 2 2 1 54
1 2 3 1 14
1 3 0 1 37
1 3 1 1 31
1 3 2 1 61
1 3 3 1 27
2 0 0 1 2
2 0 1 1 5
2 0 2 1 23
2 0 3 1 17
2 1 0 1 9
2 1 1 1 12
2 1 2 1 46
2 1 3 1 60
2 2 0 1 44
2 2 1 1 48
2 2 2 1 39
2 2 3 1 47
2 3 0 1 49
2 3 1 1 25
2 3 2 1 52
2 3 3 1 59
3 0 0 1 1
3 0 1 1 62
3 0 2 1 53
3 0 3 1 16
3 1 0 1 21
3 1 1 1 13
3 1 2 1 19
3 1 3 1 22
3 2 0 1 30
3 2 1 1 36
3 2 2 1 18
3 2 3 1 41
3 3 0 1 40
3 3 1 1 29
3 3 2 1 33
3 3 3 1 55
