pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 36
0 0 1 1 49
0 0 2 1 43
0 0 3 1 2
0 1 0 1 33
0 1 1 1 38
0 1 2 1 34
0 1 3 1 61
0 2 0 1 28
0 2 1 1 27
0 2 2 1 42
0 2 3 1 0
0 3 0 1 22
0 3 1 1 18
0 3 2 1 14
0 3 3 1 5
1 0 0 1 40
1 0 1 1 48
1 0 2 1 62
1 0 3 1 56
1 1 0 1 24
1 1 1 1 25
1 1 2 1 45
1 1 3 1 32
1 2 0 1 59
1 2 1 1 31
1 2 2 1 35
1 2 3 1 55
1 3 0 1 19
1 3 1 1 12
1 3 2 1 52
1 3 3 1 7
2 0 0 1 51
2 0 1 1 63
2 0 2 1 54
2 0 3 1 6
2 1 0 1 8
2 1 1 1 13
2 1 2 1 15
2 1 3 1 37
2 2 0 1 23
2 2 1 1 20
2 2 2 1 47
2 2 3 1 50
2 3 0 1 29
2 3 1 1 39
2 3 2 1 16
2 3 3 1 10
3 0 0 1 41
3 0 1 1 30
3 0 2 1 26
3 0 3 1 4
3 1 0 1 57
3 1 1 1 53
3 1 2 1 58
3 1 3 1 3
3 2 0 1 46
3 2 1 1 44
3 2 2 1 60
3 2 3 1 11
3 3 0 1 9
3 3 1 1 21
3 3 2 1 17
3 3 3 1 1
