topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 2
0 0 2 1 57
0 0 3 1 17
0 1 0 1 52
0 1 1 1 50
0 1 2 1 10
0 1 3 1 26
0 2 0 1 62
0 2 1 1 44
0 2 2 1 51
0 2 3 1 59
0 3 0 1 45
0 3 1 1 22
0 3 2 1 55
0 3 3 1 60
1 0 0 1 1
1 0 1 1 5
1 0 2 1 6
1 0 3 1 9
1 1 0 1 61
1 1 1 1 12
1 1 2 1 20
1 1 3 1 41
1 2 0 1 56
1 2 1 1 39
1 2 2 1 14
1 2 3 1 53
1 3 0 1 19
1 3 1 1 43
1 3 2 1 28
1 3 3 1 42
2 0 0 1 3
2 0 1 1 24
2 0 2 1 21
2 0 3 1 11
2 1 0 1 37
2 1 1 1 36
2 1 2 1 30
2 1 3 1 16
2 2 0 1 48
2 2 1 1 46
2 2 2 1 35
2 2 3 1 63
2 3 0 1 29
2 3 1 1 25
2 3 2 1 23
2 3 3 1 31
3 0 0 1 8
3 0 1 1 49
3 0 2 1 58
3 0 3 1 4
3 1 0 1 32
3 1 1 1 18
3 1 2 1 47
3 1 3 1 38
3 2 0 1 15
3 2 1 1 54
3 2 2 1 33
3 2 3 1 27
3 3 0 1 13
3 3 1 1 40
3 3 2 1 34
3 3 3 1 7
