fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 24
0 0 2 1 32
0 0 3 1 4
0 1 0 1 62
0 1 1 1 51
0 1 2 1 21
0 1 3 1 13
0 2 0 1 39
0 2 1 1 44
0 2 2 1 36
0 2 3 1 28
0 3 0 1 16
0 3 1 1 53
0 3 2 1 58
0 3 3 1 27
1 0 0 1 2
1 0 1 1 3
1 0 2 1 8
1 0 3 1 30
1 1 0 1 12
1 1 1 1 31
1 1 2 1 48
1 1 3 1 52
1 2 0 1 18
1 2 1 1 54
1 2 2 1 15
1 2 3 1 38
1 3 0 1 17
1 3 1 1 59
1 3 2 1 42
1 3 3 1 26
2 0 0 1 63
2 0 1 1 1
2 0 2 1 5
2 0 3 1 9
2 1 0 1 37
2 1 1 1 25
2 1 2 1 29
2 1 3 1 43
2 2 0 1 46
2 2 1 1 35
2 2 2 1 50
2 2 3 1 47
2 3 0 1 7
2 3 1 1 23
2 3 2 1 60
2 3 3 1 57
3 0 0 1 49
3 0 1 1 56
3 0 2 1 20
3 0 3 1 11
3 1 0 1 33
3 1 1 1 40
3 1 2 1 45
3 1 3 1 6
3 2 0 1 19
3 2 1 1 61
3 2 2 1 22
3 2 3 1 41
3 3 0 1 14
3 3 1 1 55
3 3 2 1 34
3 3 3 1 10
