recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 44
0 0 1 1 45
0 0 2 1 29
0 0 3 1 24
0 1 0 1 31
0 1 1 1 62
0 1 2 1 37
0 1 3 1 20
0 2 0 1 33
0 2 1 1 38
0 2 2 1 14
0 2 3 1 13
0 3 0 1 57
0 3 1 1 58
0 3 2 1 40
0 3 3 1 23
1 0 0 1 42
1 0 1 1 52
1 0 2 1 25
1 0 3 1 11
1 1 0 1 47
1 1 1 1 60
1 1 2 1 39
1 1 3 1 61
1 2 0 1 59
1 2 1 1 46
1 2 2 1 48
1 2 3 1 35
1 3 0 1 53
1 3 1 1 54
1 3 2 1 49
1 3 3 1 15
2 0 0 1 50
2 0 1 1 55
2 0 2 1 0
2 0 3 1 8
2 1 0 1 43
2 1 1 1 36
2 1 2 1 2
2 1 3 1 19
2 2 0 1 18
2 2 1 1 16
2 2 2 1 56
2 2 3 1 4
2 3 0 1 27
2 3 1 1 26
2 3 2 1 6
2 3 3 1 9
3 0 0 1 34
3 0 1 1 41
3 0 2 1 5
3 0 3 1 1
3 1 0 1 22
3 1 1 1 28
3 1 2 1 3
3 1 3 1 12
3 2 0 1 21
3 2 1 1 32
3 2 2 1 10
3 2 3 1 51
3 3 0 1 30
3 3 1 1 17
3 3 2 1 7
3 3 3 1 63
