greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 24
0 0 1 1 43
0 0 2 1 32
0 0 3 1 10
0 1 0 1 62
0 1 1 1 54
0 1 2 1 4
0 1 3 1 16
0 2 0 1 52
0 2 1 1 57
0 2 2 1 33
0 2 3 1 60
0 3 0 1 2
0 3 1 1 58
0 3 2 1 23
0 3 3 1 59
1 0 0 1 45
1 0 1 1 63
1 0 2 1 21
1 0 3 1 41
1 1 0 1 48
1 1 1 1 53
1 1 2 1 40
1 1 3 1 26
1 2 0 1 0
1 2 1 1 34
1 2 2 1 12
1 2 3 1 17
1 3 0 1 36
1 3 1 1 37
1 3 2 1 42
1 3 3 1 35
2 0 0 1 8
2 0 1 1 51
2 0 2 1 19
2 0 3 1 30
2 1 0 1 25
2 1 1 1 15
2 1 2 1 56
2 1 3 1 28
2 2 0 1 9
2 2 1 1 29
2 2 2 1 6
2 2 3 1 46
2 3 0 1 5
2 3 1 1 55
2 3 2 1 47
2 3 3 1 38
3 0 0 1 20
3 0 1 1 3
3 0 2 1 22
3 0 3 1 39
3 1 0 1 11
3 1 1 1 13
3 1 2 1 61
3 1 3 1 18
3 2 0 1 49
3 2 1 1 7
3 2 2 1 14
3 2 3 1 27
3 3 0 1 1
3 3 1 1 50
3 3 2 1 31
3 3 3 1 44
