greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 6
0 0 2 1 52
0 0 3 1 10
0 1 0 1 1
0 1 1 1 4
0 1 2 1 49
0 1 3 1 18
0 2 0 1 5
0 2 1 1 51
0 2 2 1 40
0 2 3 1 33
0 3 0 1 16
0 3 1 1 39
0 3 2 1 46
0 3 3 1 38
1 0 0 1 8
1 0 1 1 2
1 0 2 1 56
1 0 3 1 34
1 1 0 1 24
1 1 1 1 32
1 1 2 1 36
1 1 3 1 61
1 2 0 1 20
1 2 1 1 63
1 2 2 1 48
1 2 3 1 43
1 3 0 1 25
1 3 1 1 37
1 3 2 1 35
1 3 3 1 50
2 0 0 1 3
2 0 1 1 12
2 0 2 1 62
2 0 3 1 14
2 1 0 1 9
2 1 1 1 21
2 1 2 1 13
2 1 3 1 19
2 2 0 1 11
2 2 1 1 31
2 2 2 1 45
2 2 3 1 22
2 3 0 1 29
2 3 1 1 15
2 3 2 1 54
2 3 3 1 27
3 0 0 1 26
3 0 1 1 60
3 0 2 1 7
3 0 3 1 55
3 1 0 1 41
3 1 1 1 30
3 1 2 1 23
3 1 3 1 57
3 2 0 1 59
3 2 1 1 44
3 2 2 1 28
3 2 3 1 53
3 3 0 1 17
3 3 1 1 47
3 3 2 1 42
3 3 3 1 58
