topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 20
0 0 2 1 45
0 0 3 1 62
0 1 0 1 8
0 1 1 1 24
0 1 2 1 31
0 1 3 1 28
0 2 0 1 3
0 2 1 1 25
0 2 2 1 51
0 2 3 1 44
0 3 0 1 36
0 3 1 1 48
0 3 2 1 63
0 3 3 1 4
1 0 0 1 1
1 0 1 1 11
1 0 2 1 43
1 0 3 1 39
1 1 0 1 5
1 1 1 1 32
1 1 2 1 35
1 1 3 1 42
1 2 0 1 2
1 2 1 1 29
1 2 2 1 40
1 2 3 1 58
1 3 0 1 57
1 3 1 1 49
1 3 2 1 33
1 3 3 1 46
2 0 0 1 9
2 0 1 1 61
2 0 2 1 22
2 0 3 1 52
2 1 0 1 13
2 1 1 1 15
2 1 2 1 27
2 1 3 1 47
2 2 0 1 34
2 2 1 1 37
2 2 2 1 38
2 2 3 1 54
2 3 0 1 41
2 3 1 1 53
2 3 2 1 59
2 3 3 1 60
3 0 0 1 12
3 0 1 1 26
3 0 2 1 19
3 0 3 1 16
3 1 0 1 21
3 1 1 1 18
3 1 2 1 14
3 1 3 1 17
3 2 0 1 30
3 2 1 1 56
3 2 2 1 50
3 2 3 1 55
3 3 0 1 23
3 3 1 1 6
3 3 2 1 7
3 3 3 1 10
