fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 24
0 0 2 1 32
0 0 3 1 9
0 1 0 1 62
0 1 1 1 36
0 1 2 1 21
0 1 3 1 43
0 2 0 1 55
0 2 1 1 59
0 2 2 1 30
0 2 3 1 52
0 3 0 1 18
0 3 1 1 46
0 3 2 1 4
0 3 3 1 13
1 0 0 1 2
1 0 1 1 3
1 0 2 1 8
1 0 3 1 15
1 1 0 1 12
1 1 1 1 31
1 1 2 1 48
1 1 3 1 7
1 2 0 1 47
1 2 1 1 54
1 2 2 1 19
1 2 3 1 27
1 3 0 1 23
1 3 1 1 57
1 3 2 1 42
1 3 3 1 28
2 0 0 1 63
2 0 1 1 1
2 0 2 1 5
2 0 3 1 29
2 1 0 1 37
2 1 1 1 25
2 1 2 1 49
2 1 3 1 38
2 2 0 1 50
2 2 1 1 35
2 2 2 1 33
2 2 3 1 34
2 3 0 1 14
2 3 1 1 58
2 3 2 1 22
2 3 3 1 10
3 0 0 1 6
3 0 1 1 51
3 0 2 1 20
3 0 3 1 11
3 1 0 1 39
3 1 1 1 44
3 1 2 1 56
3 1 3 1 40
3 2 0 1 60
3 2 1 1 26
3 2 2 1 61
3 2 3 1 16
3 3 0 1 41
3 3 1 1 53
3 3 2 1 45
3 3 3 1 17
