recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 44
0 0 1 1 42
0 0 2 1 41
0 0 3 1 50
0 1 0 1 53
0 1 1 1 46
0 1 2 1 27
0 1 3 1 26
0 2 0 1 57
0 2 1 1 38
0 2 2 1 18
0 2 3 1 16
0 3 0 1 45
0 3 1 1 52
0 3 2 1 36
0 3 3 1 43
1 0 0 1 10
1 0 1 1 7
1 0 2 1 56
1 0 3 1 6
1 1 0 1 39
1 1 1 1 25
1 1 2 1 40
1 1 3 1 23
1 2 0 1 61
1 2 1 1 11
1 2 2 1 14
1 2 3 1 13
1 3 0 1 8
1 3 1 1 0
1 3 2 1 2
1 3 3 1 3
2 0 0 1 9
2 0 1 1 51
2 0 2 1 63
2 0 3 1 4
2 1 0 1 29
2 1 1 1 37
2 1 2 1 49
2 1 3 1 15
2 2 0 1 24
2 2 1 1 20
2 2 2 1 48
2 2 3 1 35
2 3 0 1 1
2 3 1 1 5
2 3 2 1 12
2 3 3 1 19
3 0 0 1 31
3 0 1 1 47
3 0 2 1 34
3 0 3 1 55
3 1 0 1 54
3 1 1 1 59
3 1 2 1 30
3 1 3 1 17
3 2 0 1 58
3 2 1 1 33
3 2 2 1 21
3 2 3 1 32
3 3 0 1 62
3 3 1 1 60
3 3 2 1 28
3 3 3 1 22
