greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 24
0 0 1 1 43
0 0 2 1 32
0 0 3 1 26
0 1 0 1 25
0 1 1 1 63
0 1 2 1 22
0 1 3 1 42
0 2 0 1 9
0 2 1 1 29
0 2 2 1 33
0 2 3 1 18
0 3 0 1 5
0 3 1 1 41
0 3 2 1 10
0 3 3 1 16
1 0 0 1 45
1 0 1 1 54
1 0 2 1 14
1 0 3 1 17
1 1 0 1 48
1 1 1 1 53
1 1 2 1 61
1 1 3 1 47
1 2 0 1 0
1 2 1 1 34
1 2 2 1 12
1 2 3 1 27
1 3 0 1 36
1 3 1 1 30
1 3 2 1 28
1 3 3 1 35
2 0 0 1 8
2 0 1 1 57
2 0 2 1 7
2 0 3 1 60
2 1 0 1 62
2 1 1 1 55
2 1 2 1 50
2 1 3 1 31
2 2 0 1 52
2 2 1 1 37
2 2 2 1 6
2 2 3 1 44
2 3 0 1 2
2 3 1 1 58
2 3 2 1 56
2 3 3 1 38
3 0 0 1 20
3 0 1 1 3
3 0 2 1 21
3 0 3 1 59
3 1 0 1 11
3 1 1 1 51
3 1 2 1 19
3 1 3 1 23
3 2 0 1 49
3 2 1 1 15
3 2 2 1 4
3 2 3 1 39
3 3 0 1 1
3 3 1 1 13
3 3 2 1 40
3 3 3 1 46
