greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 12
0 0 2 1 60
0 0 3 1 26
0 1 0 1 20
0 1 1 1 30
0 1 2 1 47
0 1 3 1 58
0 2 0 1 11
0 2 1 1 44
0 2 2 1 39
0 2 3 1 42
0 3 0 1 45
0 3 1 1 54
0 3 2 1 38
0 3 3 1 16
1 0 0 1 8
1 0 1 1 2
1 0 2 1 14
1 0 3 1 17
1 1 0 1 24
1 1 1 1 32
1 1 2 1 37
1 1 3 1 53
1 2 0 1 31
1 2 1 1 25
1 2 2 1 29
1 2 3 1 27
1 3 0 1 13
1 3 1 1 15
1 3 2 1 35
1 3 3 1 23
2 0 0 1 3
2 0 1 1 4
2 0 2 1 7
2 0 3 1 55
2 1 0 1 63
2 1 1 1 51
2 1 2 1 18
2 1 3 1 41
2 2 0 1 21
2 2 1 1 48
2 2 2 1 40
2 2 3 1 28
2 3 0 1 62
2 3 1 1 49
2 3 2 1 46
2 3 3 1 34
3 0 0 1 1
3 0 1 1 6
3 0 2 1 59
3 0 3 1 10
3 1 0 1 5
3 1 1 1 36
3 1 2 1 50
3 1 3 1 57
3 2 0 1 9
3 2 1 1 56
3 2 2 1 52
3 2 3 1 19
3 3 0 1 43
3 3 1 1 61
3 3 2 1 33
3 3 3 1 22
