pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 51
0 0 1 1 63
0 0 2 1 36
0 0 3 1 59
0 1 0 1 40
0 1 1 1 48
0 1 2 1 49
0 1 3 1 29
0 2 0 1 24
0 2 1 1 25
0 2 2 1 33
0 2 3 1 41
0 3 0 1 56
0 3 1 1 53
0 3 2 1 57
0 3 3 1 37
1 0 0 1 8
1 0 1 1 54
1 0 2 1 45
1 0 3 1 55
1 1 0 1 13
1 1 1 1 15
1 1 2 1 62
1 1 3 1 46
1 2 0 1 20
1 2 1 1 38
1 2 2 1 34
1 2 3 1 52
1 3 0 1 32
1 3 1 1 58
1 3 2 1 43
1 3 3 1 50
2 0 0 1 44
2 0 1 1 31
2 0 2 1 42
2 0 3 1 3
2 1 0 1 23
2 1 1 1 35
2 1 2 1 28
2 1 3 1 39
2 2 0 1 19
2 2 1 1 27
2 2 2 1 22
2 2 3 1 30
2 3 0 1 12
2 3 1 1 47
2 3 2 1 60
2 3 3 1 21
3 0 0 1 0
3 0 1 1 4
3 0 2 1 2
3 0 3 1 1
3 1 0 1 7
3 1 1 1 16
3 1 2 1 17
3 1 3 1 10
3 2 0 1 9
3 2 1 1 26
3 2 2 1 18
3 2 3 1 14
3 3 0 1 11
3 3 1 1 5
3 3 2 1 61
3 3 3 1 6
