topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 33
0 0 2 1 63
0 0 3 1 37
0 1 0 1 20
0 1 1 1 35
0 1 2 1 25
0 1 3 1 16
0 2 0 1 11
0 2 1 1 31
0 2 2 1 29
0 2 3 1 61
0 3 0 1 45
0 3 1 1 40
0 3 2 1 39
0 3 3 1 59
1 0 0 1 1
1 0 1 1 27
1 0 2 1 48
1 0 3 1 50
1 1 0 1 5
1 1 1 1 19
1 1 2 1 15
1 1 3 1 56
1 2 0 1 9
1 2 1 1 22
1 2 2 1 44
1 2 3 1 51
1 3 0 1 62
1 3 1 1 42
1 3 2 1 54
1 3 3 1 38
2 0 0 1 3
2 0 1 1 18
2 0 2 1 36
2 0 3 1 6
2 1 0 1 2
2 1 1 1 28
2 1 2 1 12
2 1 3 1 49
2 2 0 1 43
2 2 1 1 21
2 2 2 1 30
2 2 3 1 55
2 3 0 1 52
2 3 1 1 60
2 3 2 1 47
2 3 3 1 46
3 0 0 1 8
3 0 1 1 14
3 0 2 1 53
3 0 3 1 10
3 1 0 1 24
3 1 1 1 23
3 1 2 1 57
3 1 3 1 26
3 2 0 1 32
3 2 1 1 34
3 2 2 1 41
3 2 3 1 17
3 3 0 1 13
3 3 1 1 7
3 3 2 1 58
3 3 3 1 4
