recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 29
0 0 1 1 31
0 0 2 1 35
0 0 3 1 39
0 1 0 1 21
0 1 1 1 26
0 1 2 1 58
0 1 3 1 37
0 2 0 1 32
0 2 1 1 34
0 2 2 1 8
0 2 3 1 12
0 3 0 1 48
0 3 1 1 6
0 3 2 1 40
0 3 3 1 14
1 0 0 1 28
1 0 1 1 19
1 0 2 1 33
1 0 3 1 57
1 1 0 1 23
1 1 1 1 16
1 1 2 1 59
1 1 3 1 60
1 2 0 1 38
1 2 1 1 53
1 2 2 1 13
1 2 3 1 5
1 3 0 1 55
1 3 1 1 52
1 3 2 1 7
1 3 3 1 1
2 0 0 1 25
2 0 1 1 17
2 0 2 1 44
2 0 3 1 56
2 1 0 1 18
2 1 1 1 20
2 1 2 1 62
2 1 3 1 61
2 2 0 1 2
2 2 1 1 49
2 2 2 1 11
2 2 3 1 41
2 3 0 1 54
2 3 1 1 50
2 3 2 1 0
2 3 3 1 42
3 0 0 1 24
3 0 1 1 30
3 0 2 1 45
3 0 3 1 46
3 1 0 1 22
3 1 1 1 27
3 1 2 1 63
3 1 3 1 47
3 2 0 1 4
3 2 1 1 36
3 2 2 1 10
3 2 3 1 9
3 3 0 1 51
3 3 1 1 3
3 3 2 1 43
3 3 3 1 15
