greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 1
0 0 1 1 3
0 0 2 1 28
0 0 3 1 38
0 1 0 1 8
0 1 1 1 24
0 1 2 1 39
0 1 3 1 52
0 2 0 1 10
0 2 1 1 25
0 2 2 1 48
0 2 3 1 63
0 3 0 1 17
0 3 1 1 29
0 3 2 1 50
0 3 3 1 43
1 0 0 1 2
1 0 1 1 6
1 0 2 1 31
1 0 3 1 46
1 1 0 1 9
1 1 1 1 0
1 1 2 1 42
1 1 3 1 54
1 2 0 1 11
1 2 1 1 27
1 2 2 1 47
1 2 3 1 61
1 3 0 1 16
1 3 1 1 35
1 3 2 1 51
1 3 3 1 62
2 0 0 1 4
2 0 1 1 12
2 0 2 1 34
2 0 3 1 60
2 1 0 1 13
2 1 1 1 30
2 1 2 1 41
2 1 3 1 55
2 2 0 1 15
2 2 1 1 32
2 2 2 1 45
2 2 3 1 57
2 3 0 1 18
2 3 1 1 33
2 3 2 1 53
2 3 3 1 59
3 0 0 1 5
3 0 1 1 20
3 0 2 1 36
3 0 3 1 40
3 1 0 1 7
3 1 1 1 21
3 1 2 1 37
3 1 3 1 56
3 2 0 1 14
3 2 1 1 23
3 2 2 1 44
3 2 3 1 49
3 3 0 1 19
3 3 1 1 22
3 3 2 1 26
3 3 3 1 58
