fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 3
0 0 1 1 1
0 0 2 1 0
0 0 3 1 38
0 1 0 1 10
0 1 1 1 8
0 1 2 1 4
0 1 3 1 37
0 2 0 1 11
0 2 1 1 9
0 2 2 1 32
0 2 3 1 33
0 3 0 1 25
0 3 1 1 27
0 3 2 1 31
0 3 3 1 59
1 0 0 1 7
1 0 1 1 5
1 0 2 1 2
1 0 3 1 34
1 1 0 1 14
1 1 1 1 12
1 1 2 1 16
1 1 3 1 20
1 2 0 1 15
1 2 1 1 13
1 2 2 1 18
1 2 3 1 22
1 3 0 1 29
1 3 1 1 43
1 3 2 1 47
1 3 3 1 63
2 0 0 1 24
2 0 1 1 23
2 0 2 1 6
2 0 3 1 48
2 1 0 1 26
2 1 1 1 19
2 1 2 1 17
2 1 3 1 52
2 2 0 1 30
2 2 1 1 41
2 2 2 1 36
2 2 3 1 50
2 3 0 1 57
2 3 1 1 45
2 3 2 1 61
2 3 3 1 62
3 0 0 1 28
3 0 1 1 35
3 0 2 1 39
3 0 3 1 49
3 1 0 1 56
3 1 1 1 40
3 1 2 1 21
3 1 3 1 60
3 2 0 1 51
3 2 1 1 44
3 2 2 1 42
3 2 3 1 54
3 3 0 1 55
3 3 1 1 58
3 3 2 1 46
3 3 3 1 53
