recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 33
0 0 1 1 44
0 0 2 1 28
0 0 3 1 24
0 1 0 1 37
0 1 1 1 45
0 1 2 1 30
0 1 3 1 26
0 2 0 1 57
0 2 1 1 56
0 2 2 1 16
0 2 3 1 17
0 3 0 1 60
0 3 1 1 61
0 3 2 1 18
0 3 3 1 21
1 0 0 1 35
1 0 1 1 46
1 0 2 1 29
1 0 3 1 25
1 1 0 1 39
1 1 1 1 47
1 1 2 1 31
1 1 3 1 27
1 2 0 1 59
1 2 1 1 58
1 2 2 1 20
1 2 3 1 19
1 3 0 1 62
1 3 1 1 63
1 3 2 1 22
1 3 3 1 23
2 0 0 1 12
2 0 1 1 13
2 0 2 1 34
2 0 3 1 38
2 1 0 1 11
2 1 1 1 10
2 1 2 1 2
2 1 3 1 4
2 2 0 1 1
2 2 1 1 40
2 2 2 1 52
2 2 3 1 48
2 3 0 1 0
2 3 1 1 42
2 3 2 1 54
2 3 3 1 50
3 0 0 1 9
3 0 1 1 8
3 0 2 1 36
3 0 3 1 32
3 1 0 1 15
3 1 1 1 14
3 1 2 1 3
3 1 3 1 6
3 2 0 1 5
3 2 1 1 41
3 2 2 1 53
3 2 3 1 49
3 3 0 1 7
3 3 1 1 43
3 3 2 1 55
3 3 3 1 51
