topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 4
0 0 2 1 32
0 0 3 1 36
0 1 0 1 2
0 1 1 1 6
0 1 2 1 34
0 1 3 1 38
0 2 0 1 16
0 2 1 1 20
0 2 2 1 48
0 2 3 1 52
0 3 0 1 18
0 3 1 1 22
0 3 2 1 50
0 3 3 1 54
1 0 0 1 1
1 0 1 1 5
1 0 2 1 33
1 0 3 1 37
1 1 0 1 3
1 1 1 1 7
1 1 2 1 35
1 1 3 1 39
1 2 0 1 17
1 2 1 1 21
1 2 2 1 49
1 2 3 1 53
1 3 0 1 19
1 3 1 1 23
1 3 2 1 51
1 3 3 1 55
2 0 0 1 8
2 0 1 1 12
2 0 2 1 40
2 0 3 1 44
2 1 0 1 10
2 1 1 1 14
2 1 2 1 42
2 1 3 1 46
2 2 0 1 24
2 2 1 1 28
2 2 2 1 56
2 2 3 1 60
2 3 0 1 26
2 3 1 1 30
2 3 2 1 58
2 3 3 1 62
3 0 0 1 9
3 0 1 1 13
3 0 2 1 41
3 0 3 1 45
3 1 0 1 11
3 1 1 1 15
3 1 2 1 43
3 1 3 1 47
3 2 0 1 25
3 2 1 1 29
3 2 2 1 57
3 2 3 1 61
3 3 0 1 27
3 3 1 1 31
3 3 2 1 59
3 3 3 1 63
