fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 3
0 0 1 1 1
0 0 2 1 0
0 0 3 1 24
0 1 0 1 19
0 1 1 1 22
0 1 2 1 18
0 1 3 1 28
0 2 0 1 26
0 2 1 1 37
0 2 2 1 44
0 2 3 1 30
0 3 0 1 55
0 3 1 1 42
0 3 2 1 46
0 3 3 1 51
1 0 0 1 7
1 0 1 1 5
1 0 2 1 2
1 0 3 1 27
1 1 0 1 23
1 1 1 1 20
1 1 2 1 16
1 1 3 1 31
1 2 0 1 57
1 2 1 1 34
1 2 2 1 38
1 2 3 1 47
1 3 0 1 56
1 3 1 1 40
1 3 2 1 53
1 3 3 1 58
2 0 0 1 11
2 0 1 1 9
2 0 2 1 6
2 0 3 1 25
2 1 0 1 15
2 1 1 1 13
2 1 2 1 36
2 1 3 1 29
2 2 0 1 45
2 2 1 1 41
2 2 2 1 52
2 2 3 1 43
2 3 0 1 54
2 3 1 1 63
2 3 2 1 48
2 3 3 1 50
3 0 0 1 10
3 0 1 1 8
3 0 2 1 4
3 0 3 1 14
3 1 0 1 17
3 1 1 1 12
3 1 2 1 32
3 1 3 1 21
3 2 0 1 59
3 2 1 1 33
3 2 2 1 35
3 2 3 1 39
3 3 0 1 60
3 3 1 1 61
3 3 2 1 62
3 3 3 1 49
