recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 33
0 0 1 1 35
0 0 2 1 8
0 0 3 1 12
0 1 0 1 62
0 1 1 1 58
0 1 2 1 0
0 1 3 1 42
0 2 0 1 60
0 2 1 1 56
0 2 2 1 1
0 2 3 1 40
0 3 0 1 44
0 3 1 1 46
0 3 2 1 10
0 3 3 1 11
1 0 0 1 53
1 0 1 1 55
1 0 2 1 52
1 0 3 1 54
1 1 0 1 31
1 1 1 1 29
1 1 2 1 18
1 1 3 1 21
1 2 0 1 27
1 2 1 1 25
1 2 2 1 16
1 2 3 1 17
1 3 0 1 38
1 3 1 1 34
1 3 2 1 2
1 3 3 1 3
2 0 0 1 50
2 0 1 1 49
2 0 2 1 51
2 0 3 1 48
2 1 0 1 28
2 1 1 1 30
2 1 2 1 22
2 1 3 1 23
2 2 0 1 24
2 2 1 1 26
2 2 2 1 20
2 2 3 1 19
2 3 0 1 32
2 3 1 1 36
2 3 2 1 6
2 3 3 1 4
3 0 0 1 37
3 0 1 1 39
3 0 2 1 9
3 0 3 1 13
3 1 0 1 63
3 1 1 1 59
3 1 2 1 7
3 1 3 1 43
3 2 0 1 61
3 2 1 1 57
3 2 2 1 5
3 2 3 1 41
3 3 0 1 45
3 3 1 1 47
3 3 2 1 14
3 3 3 1 15
