greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 1
0 0 2 1 0
0 0 3 1 49
0 1 0 1 7
0 1 1 1 22
0 1 2 1 28
0 1 3 1 54
0 2 0 1 11
0 2 1 1 36
0 2 2 1 40
0 2 3 1 60
0 3 0 1 15
0 3 1 1 46
0 3 2 1 47
0 3 3 1 48
1 0 0 1 4
1 0 1 1 19
1 0 2 1 25
1 0 3 1 50
1 1 0 1 8
1 1 1 1 21
1 1 2 1 26
1 1 3 1 55
1 2 0 1 9
1 2 1 1 35
1 2 2 1 41
1 2 3 1 58
1 3 0 1 16
1 3 1 1 45
1 3 2 1 43
1 3 3 1 63
2 0 0 1 3
2 0 1 1 18
2 0 2 1 24
2 0 3 1 52
2 1 0 1 10
2 1 1 1 38
2 1 2 1 39
2 1 3 1 56
2 2 0 1 12
2 2 1 1 37
2 2 2 1 42
2 2 3 1 57
2 3 0 1 17
2 3 1 1 20
2 3 2 1 44
2 3 3 1 62
3 0 0 1 5
3 0 1 1 32
3 0 2 1 29
3 0 3 1 51
3 1 0 1 6
3 1 1 1 23
3 1 2 1 27
3 1 3 1 53
3 2 0 1 14
3 2 1 1 34
3 2 2 1 31
3 2 3 1 59
3 3 0 1 13
3 3 1 1 33
3 3 2 1 30
3 3 3 1 61
