topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 33
0 0 2 1 37
0 0 3 1 47
0 1 0 1 4
0 1 1 1 32
0 1 2 1 36
0 1 3 1 61
0 2 0 1 19
0 2 1 1 34
0 2 2 1 38
0 2 3 1 60
0 3 0 1 18
0 3 1 1 35
0 3 2 1 39
0 3 3 1 45
1 0 0 1 1
1 0 1 1 8
1 0 2 1 12
1 0 3 1 44
1 1 0 1 5
1 1 1 1 10
1 1 2 1 14
1 1 3 1 40
1 2 0 1 23
1 2 1 1 11
1 2 2 1 15
1 2 3 1 58
1 3 0 1 22
1 3 1 1 9
1 3 2 1 13
1 3 3 1 41
2 0 0 1 3
2 0 1 1 24
2 0 2 1 25
2 0 3 1 46
2 1 0 1 7
2 1 1 1 26
2 1 2 1 27
2 1 3 1 56
2 2 0 1 21
2 2 1 1 30
2 2 2 1 31
2 2 3 1 42
2 3 0 1 20
2 3 1 1 28
2 3 2 1 29
2 3 3 1 43
3 0 0 1 2
3 0 1 1 49
3 0 2 1 53
3 0 3 1 63
3 1 0 1 6
3 1 1 1 48
3 1 2 1 54
3 1 3 1 57
3 2 0 1 17
3 2 1 1 50
3 2 2 1 52
3 2 3 1 62
3 3 0 1 16
3 3 1 1 51
3 3 2 1 55
3 3 3 1 59
