fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 53
0 1 0 1 6
0 1 1 1 8
0 1 2 1 29
0 1 3 1 49
0 2 0 1 24
0 2 1 1 34
0 2 2 1 28
0 2 3 1 48
0 3 0 1 36
0 3 1 1 7
0 3 2 1 44
0 3 3 1 61
1 0 0 1 4
1 0 1 1 1
1 0 2 1 39
1 0 3 1 54
1 1 0 1 18
1 1 1 1 10
1 1 2 1 13
1 1 3 1 50
1 2 0 1 26
1 2 1 1 41
1 2 2 1 12
1 2 3 1 55
1 3 0 1 25
1 3 1 1 3
1 3 2 1 31
1 3 3 1 62
2 0 0 1 16
2 0 1 1 0
2 0 2 1 35
2 0 3 1 57
2 1 0 1 22
2 1 1 1 32
2 1 2 1 14
2 1 3 1 52
2 2 0 1 23
2 2 1 1 40
2 2 2 1 45
2 2 3 1 59
2 3 0 1 37
2 3 1 1 27
2 3 2 1 15
2 3 3 1 60
3 0 0 1 20
3 0 1 1 2
3 0 2 1 43
3 0 3 1 58
3 1 0 1 9
3 1 1 1 38
3 1 2 1 30
3 1 3 1 56
3 2 0 1 19
3 2 1 1 42
3 2 2 1 46
3 2 3 1 51
3 3 0 1 33
3 3 1 1 11
3 3 2 1 47
3 3 3 1 63
