recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 34
0 0 1 1 35
0 0 2 1 56
0 0 3 1 57
0 1 0 1 49
0 1 1 1 55
0 1 2 1 9
0 1 3 1 61
0 2 0 1 18
0 2 1 1 2
0 2 2 1 62
0 2 3 1 58
0 3 0 1 20
0 3 1 1 23
0 3 2 1 30
0 3 3 1 47
1 0 0 1 50
1 0 1 1 32
1 0 2 1 60
1 0 3 1 24
1 1 0 1 48
1 1 1 1 36
1 1 2 1 25
1 1 3 1 12
1 2 0 1 3
1 2 1 1 1
1 2 2 1 59
1 2 3 1 10
1 3 0 1 17
1 3 1 1 21
1 3 2 1 11
1 3 3 1 14
2 0 0 1 38
2 0 1 1 33
2 0 2 1 44
2 0 3 1 8
2 1 0 1 37
2 1 1 1 52
2 1 2 1 13
2 1 3 1 28
2 2 0 1 6
2 2 1 1 0
2 2 2 1 42
2 2 3 1 26
2 3 0 1 5
2 3 1 1 4
2 3 2 1 15
2 3 3 1 31
3 0 0 1 54
3 0 1 1 51
3 0 2 1 45
3 0 3 1 40
3 1 0 1 53
3 1 1 1 39
3 1 2 1 29
3 1 3 1 41
3 2 0 1 22
3 2 1 1 19
3 2 2 1 46
3 2 3 1 63
3 3 0 1 16
3 3 1 1 7
3 3 2 1 27
3 3 3 1 43
