greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 5
0 0 1 1 0
0 0 2 1 47
0 0 3 1 51
0 1 0 1 22
0 1 1 1 4
0 1 2 1 39
0 1 3 1 61
0 2 0 1 26
0 2 1 1 8
0 2 2 1 27
0 2 3 1 31
0 3 0 1 9
0 3 1 1 32
0 3 2 1 43
0 3 3 1 48
1 0 0 1 1
1 0 1 1 17
1 0 2 1 58
1 0 3 1 59
1 1 0 1 18
1 1 1 1 21
1 1 2 1 35
1 1 3 1 60
1 2 0 1 7
1 2 1 1 25
1 2 2 1 11
1 2 3 1 15
1 3 0 1 3
1 3 1 1 36
1 3 2 1 30
1 3 3 1 52
2 0 0 1 16
2 0 1 1 2
2 0 2 1 54
2 0 3 1 55
2 1 0 1 33
2 1 1 1 6
2 1 2 1 45
2 1 3 1 49
2 2 0 1 19
2 2 1 1 10
2 2 2 1 14
2 2 3 1 62
2 3 0 1 29
2 3 1 1 40
2 3 2 1 13
2 3 3 1 56
3 0 0 1 20
3 0 1 1 34
3 0 2 1 53
3 0 3 1 50
3 1 0 1 37
3 1 1 1 38
3 1 2 1 44
3 1 3 1 57
3 2 0 1 41
3 2 1 1 42
3 2 2 1 12
3 2 3 1 46
3 3 0 1 24
3 3 1 1 23
3 3 2 1 28
3 3 3 1 63
