pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 3
0 0 1 1 63
0 0 2 1 48
0 0 3 1 52
0 1 0 1 19
0 1 1 1 7
0 1 2 1 23
0 1 3 1 49
0 2 0 1 51
0 2 1 1 11
0 2 2 1 27
0 2 3 1 50
0 3 0 1 60
0 3 1 1 15
0 3 2 1 43
0 3 3 1 56
1 0 0 1 18
1 0 1 1 16
1 0 2 1 20
1 0 3 1 36
1 1 0 1 2
1 1 1 1 6
1 1 2 1 22
1 1 3 1 32
1 2 0 1 35
1 2 1 1 34
1 2 2 1 38
1 2 3 1 54
1 3 0 1 55
1 3 1 1 31
1 3 2 1 39
1 3 3 1 47
2 0 0 1 0
2 0 1 1 17
2 0 2 1 4
2 0 3 1 33
2 1 0 1 1
2 1 1 1 5
2 1 2 1 21
2 1 3 1 37
2 2 0 1 62
2 2 1 1 10
2 2 2 1 26
2 2 3 1 53
2 3 0 1 59
2 3 1 1 14
2 3 2 1 30
2 3 3 1 58
3 0 0 1 12
3 0 1 1 24
3 0 2 1 8
3 0 3 1 40
3 1 0 1 28
3 1 1 1 9
3 1 2 1 25
3 1 3 1 41
3 2 0 1 44
3 2 1 1 29
3 2 2 1 42
3 2 3 1 45
3 3 0 1 61
3 3 1 1 13
3 3 2 1 46
3 3 3 1 57
