topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 4
0 0 2 1 62
0 0 3 1 61
0 1 0 1 29
0 1 1 1 24
0 1 2 1 46
0 1 3 1 57
0 2 0 1 28
0 2 1 1 12
0 2 2 1 45
0 2 3 1 56
0 3 0 1 44
0 3 1 1 10
0 3 2 1 40
0 3 3 1 60
1 0 0 1 1
1 0 1 1 5
1 0 2 1 7
1 0 3 1 63
1 1 0 1 13
1 1 1 1 25
1 1 2 1 23
1 1 3 1 51
1 2 0 1 18
1 2 1 1 22
1 2 2 1 41
1 2 3 1 19
1 3 0 1 2
1 3 1 1 6
1 3 2 1 3
1 3 3 1 47
2 0 0 1 21
2 0 1 1 17
2 0 2 1 11
2 0 3 1 55
2 1 0 1 9
2 1 1 1 37
2 1 2 1 26
2 1 3 1 39
2 2 0 1 34
2 2 1 1 49
2 2 2 1 50
2 2 3 1 35
2 3 0 1 33
2 3 1 1 30
2 3 2 1 53
2 3 3 1 27
3 0 0 1 20
3 0 1 1 16
3 0 2 1 15
3 0 3 1 59
3 1 0 1 8
3 1 1 1 36
3 1 2 1 31
3 1 3 1 58
3 2 0 1 38
3 2 1 1 48
3 2 2 1 54
3 2 3 1 42
3 3 0 1 32
3 3 1 1 14
3 3 2 1 52
3 3 3 1 43
