fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 2
0 1 0 1 6
0 1 1 1 18
0 1 2 1 0
0 1 3 1 32
0 2 0 1 7
0 2 1 1 26
0 2 2 1 10
0 2 3 1 31
0 3 0 1 15
0 3 1 1 39
0 3 2 1 47
0 3 3 1 50
1 0 0 1 4
1 0 1 1 16
1 0 2 1 1
1 0 3 1 8
1 1 0 1 37
1 1 1 1 24
1 1 2 1 22
1 1 3 1 42
1 2 0 1 13
1 2 1 1 11
1 2 2 1 40
1 2 3 1 29
1 3 0 1 57
1 3 1 1 45
1 3 2 1 56
1 3 3 1 61
2 0 0 1 25
2 0 1 1 9
2 0 2 1 20
2 0 3 1 34
2 1 0 1 38
2 1 1 1 3
2 1 2 1 41
2 1 3 1 23
2 2 0 1 19
2 2 1 1 30
2 2 2 1 43
2 2 3 1 55
2 3 0 1 44
2 3 1 1 58
2 3 2 1 51
2 3 3 1 60
3 0 0 1 36
3 0 1 1 28
3 0 2 1 33
3 0 3 1 53
3 1 0 1 27
3 1 1 1 12
3 1 2 1 35
3 1 3 1 52
3 2 0 1 14
3 2 1 1 46
3 2 2 1 54
3 2 3 1 62
3 3 0 1 49
3 3 1 1 48
3 3 2 1 59
3 3 3 1 63
