recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 60
0 0 1 1 44
0 0 2 1 50
0 0 3 1 54
0 1 0 1 61
0 1 1 1 45
0 1 2 1 51
0 1 3 1 55
0 2 0 1 24
0 2 1 1 8
0 2 2 1 36
0 2 3 1 33
0 3 0 1 12
0 3 1 1 28
0 3 2 1 37
0 3 3 1 49
1 0 0 1 56
1 0 1 1 40
1 0 2 1 34
1 0 3 1 38
1 1 0 1 57
1 1 1 1 41
1 1 2 1 35
1 1 3 1 39
1 2 0 1 25
1 2 1 1 9
1 2 2 1 52
1 2 3 1 32
1 3 0 1 13
1 3 1 1 29
1 3 2 1 53
1 3 3 1 48
2 0 0 1 58
2 0 1 1 59
2 0 2 1 2
2 0 3 1 3
2 1 0 1 42
2 1 1 1 46
2 1 2 1 6
2 1 3 1 22
2 2 0 1 14
2 2 1 1 30
2 2 2 1 21
2 2 3 1 20
2 3 0 1 15
2 3 1 1 31
2 3 2 1 5
2 3 3 1 4
3 0 0 1 63
3 0 1 1 62
3 0 2 1 19
3 0 3 1 18
3 1 0 1 43
3 1 1 1 47
3 1 2 1 7
3 1 3 1 23
3 2 0 1 10
3 2 1 1 26
3 2 2 1 1
3 2 3 1 0
3 3 0 1 11
3 3 1 1 27
3 3 2 1 17
3 3 3 1 16
