greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 35
0 1 0 1 6
0 1 1 1 41
0 1 2 1 54
0 1 3 1 50
0 2 0 1 9
0 2 1 1 29
0 2 2 1 45
0 2 3 1 43
0 3 0 1 26
0 3 1 1 38
0 3 2 1 31
0 3 3 1 55
1 0 0 1 20
1 0 1 1 0
1 0 2 1 30
1 0 3 1 48
1 1 0 1 4
1 1 1 1 53
1 1 2 1 42
1 1 3 1 44
1 2 0 1 16
1 2 1 1 32
1 2 2 1 57
1 2 3 1 56
1 3 0 1 23
1 3 1 1 34
1 3 2 1 46
1 3 3 1 63
2 0 0 1 22
2 0 1 1 2
2 0 2 1 27
2 0 3 1 14
2 1 0 1 1
2 1 1 1 10
2 1 2 1 12
2 1 3 1 11
2 2 0 1 18
2 2 1 1 13
2 2 2 1 3
2 2 3 1 47
2 3 0 1 36
2 3 1 1 19
2 3 2 1 58
2 3 3 1 62
3 0 0 1 25
3 0 1 1 8
3 0 2 1 39
3 0 3 1 59
3 1 0 1 37
3 1 1 1 7
3 1 2 1 52
3 1 3 1 60
3 2 0 1 33
3 2 1 1 40
3 2 2 1 28
3 2 3 1 51
3 3 0 1 24
3 3 1 1 49
3 3 2 1 61
3 3 3 1 15
