fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 8
0 1 0 1 36
0 1 1 1 24
0 1 2 1 2
0 1 3 1 35
0 2 0 1 19
0 2 1 1 7
0 2 2 1 23
0 2 3 1 49
0 3 0 1 38
0 3 1 1 26
0 3 2 1 10
0 3 3 1 31
1 0 0 1 4
1 0 1 1 16
1 0 2 1 1
1 0 3 1 32
1 1 0 1 43
1 1 1 1 37
1 1 2 1 22
1 1 3 1 11
1 2 0 1 57
1 2 1 1 15
1 2 2 1 3
1 2 3 1 51
1 3 0 1 44
1 3 1 1 39
1 3 2 1 34
1 3 3 1 53
2 0 0 1 25
2 0 1 1 9
2 0 2 1 20
2 0 3 1 41
2 1 0 1 30
2 1 1 1 28
2 1 2 1 33
2 1 3 1 52
2 2 0 1 48
2 2 1 1 50
2 2 2 1 54
2 2 3 1 60
2 3 0 1 12
2 3 1 1 58
2 3 2 1 55
2 3 3 1 62
3 0 0 1 6
3 0 1 1 18
3 0 2 1 0
3 0 3 1 40
3 1 0 1 27
3 1 1 1 13
3 1 2 1 42
3 1 3 1 29
3 2 0 1 14
3 2 1 1 47
3 2 2 1 61
3 2 3 1 63
3 3 0 1 46
3 3 1 1 45
3 3 2 1 56
3 3 3 1 59
