topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 46
0 0 2 1 47
0 0 3 1 29
0 1 0 1 16
0 1 1 1 62
0 1 2 1 63
0 1 3 1 12
0 2 0 1 32
0 2 1 1 58
0 2 2 1 59
0 2 3 1 48
0 3 0 1 18
0 3 1 1 42
0 3 2 1 43
0 3 3 1 19
1 0 0 1 1
1 0 1 1 45
1 0 2 1 51
1 0 3 1 13
1 1 0 1 17
1 1 1 1 54
1 1 2 1 55
1 1 3 1 50
1 2 0 1 33
1 2 1 1 34
1 2 2 1 35
1 2 3 1 49
1 3 0 1 2
1 3 1 1 38
1 3 2 1 39
1 3 3 1 3
2 0 0 1 5
2 0 1 1 9
2 0 2 1 15
2 0 3 1 14
2 1 0 1 21
2 1 1 1 25
2 1 2 1 61
2 1 3 1 28
2 2 0 1 37
2 2 1 1 41
2 2 2 1 57
2 2 3 1 53
2 3 0 1 6
2 3 1 1 10
2 3 2 1 11
2 3 3 1 7
3 0 0 1 4
3 0 1 1 8
3 0 2 1 31
3 0 3 1 30
3 1 0 1 20
3 1 1 1 24
3 1 2 1 60
3 1 3 1 44
3 2 0 1 36
3 2 1 1 40
3 2 2 1 56
3 2 3 1 52
3 3 0 1 22
3 3 1 1 26
3 3 2 1 27
3 3 3 1 23
